timestamp,value
30240,5.49
30342,0
30443,4.209
30544,0.305
30646,0.244
30747,4.087
30848,0
30950,0.122
31051,0
31153,2.745
31254,5.917
31356,0.427
31457,0
31558,0.61
31660,2.928
31761,1.952
31862,0.5489999999999999
31964,4.3309999999999995
32065,1.891
32166,3.355
32268,0.366
32369,0
32471,0.366
32572,4.88
32673,5.612
32775,4.941
32977,0
33079,0
33180,0
33282,0.061
33383,0.305
33484,0
33586,0
33687,0.122
33789,0.366
33890,5.185
33991,0
34093,2.806
34194,0
34296,0
34397,0.427
34499,0
34600,0
34701,5.2459999999999996
34803,4.941
34904,0
35005,0.366
35107,0.183
35208,0.305
35411,5.917
35614,0.061
35817,0
35918,2.6229999999999998
36019,0
36121,1.525
36222,5.2459999999999996
36324,2.684
36425,0
36526,0
36628,0.122
36729,1.342
36831,4.3309999999999995
36932,1.708
37034,4.819
37135,3.782
37236,0.244
37338,0
37439,0.122
37541,0
37642,0.366
37744,0
37845,0
37947,1.891
38048,2.806
38149,0.366
38251,0
38352,5.673
38454,5.063
38555,0
38656,2.928
38758,5.368
38859,0
38961,4.3309999999999995
39062,2.501
39164,0
39265,0
39367,4.514
39468,0
39569,0
39671,0.183
39772,0
39874,0.427
39975,1.342
40077,0
40178,0.061
40280,3.965
40381,0.366
40482,0
40584,0.488
40685,0
40787,0
40888,0.366
40990,0
41091,5.49
41192,4.209
41294,0.5489999999999999
41395,5.429
41497,0.305
41598,0
41700,1.525
41801,3.1719999999999997
41903,0
42105,0
42207,1.647
42410,0
42511,0.183
42613,0.427
42714,0
42816,0
42917,0.244
43019,0
43120,5.551
43221,21.166999999999998
43323,327.936
43425,312.381
43526,0
43628,171.776
43729,2.1959999999999997
43831,78.812
44033,4.3309999999999995
44135,5.3069999999999995
44236,1.403
44338,0
44439,4.697
44541,0.488
44642,0.488
44744,1.952
45048,0.427
45149,4.026
45251,0.427
45352,0.244
45454,0
45555,0.061
45657,0
45758,0
45860,0
45961,0
46062,0.061
46164,0
46265,0
46367,0
46469,0.305
46570,0.061
46671,0
46773,0
46874,0.061
46976,0
47077,4.636
47179,3.782
47280,0
47382,1.647
47585,0.427
47686,5.795
47787,0
47889,0
47990,2.928
48092,0
48193,1.464
48295,0.366
48396,0
48497,4.087
48599,0
48700,0
48903,0
49005,0
49106,0.366
49208,0
49309,0
49411,0
49512,0
49614,3.05
49715,1.952
49817,0.061
49918,5.673
50019,0
50121,0.366
50222,1.647
50324,0
50425,0
50526,5.3069999999999995
50628,5.429
50729,0
50831,5.795
50932,2.074
51236,4.636
51338,0
51439,4.209
51541,2.44
51642,0.061
51743,0.305
51845,0.61
51946,0
52048,0
52149,0
52250,0.305
52352,3.904
52555,4.3309999999999995
52656,0
52758,0
52859,0.427
52960,0
53062,0
53163,1.647
53265,5.429
53366,0.427
53468,5.368
53569,0
53671,5.368
53772,4.941
53873,0
53975,5.612
54076,2.806
54178,0
54279,3.904
54381,0.122
54584,3.355
54685,0.366
54787,5.063
54990,0
