timestamp,value
22430,5.2459999999999996
22532,0
22633,0
22735,0
22836,0
22937,0
23039,1.22
23140,0
23242,0
23343,5.368
23445,0
23546,2.013
23648,0
23850,0.366
23952,0
24053,0.671
24155,0
24256,0
24357,0.488
24459,0
24560,0
24662,0.427
24763,1.952
24864,0
24966,5.551
25067,0.427
25169,0
25270,0
25372,0.5489999999999999
25473,0
25574,0.366
25676,0
25777,4.941
25879,0.061
25980,0
26082,0
26183,0
26285,0
26386,3.294
26488,0
26589,0
26690,0
26792,0
26893,0
26995,0
27096,3.5989999999999998
27198,0
27299,0
27400,0
27502,2.928
27603,0
27705,0
27806,0
27908,0
28009,5.856
28110,0.122
28212,0
28313,3.05
28415,0
28516,5.185
28617,0
28719,0.061
28820,0
28922,5.551
29023,0.122
29125,0
29226,0
29327,0
29429,0
29530,0
29632,0
29733,0
29835,5.368
29936,0
30038,0
30139,0
30240,4.453
30342,0.5489999999999999
30443,0
30544,0
30646,0
30747,0
30848,0.488
30950,0
31051,5.368
31153,6.039
31254,0.122
31356,0
31457,0
31558,0
31660,4.941
31761,0
31862,3.1109999999999998
31964,0
32065,0.366
32166,0
32268,4.27
32369,3.843
32471,0.854
32572,0.7929999999999999
32673,0
32775,0
32977,0.5489999999999999
33079,0
33180,4.636
33282,0.305
33383,0
33484,0.5489999999999999
33586,3.782
33687,4.575
33789,5.917
33890,5.795
33991,0
34093,0
34194,0.427
34296,1.281
34397,3.294
34499,2.562
34600,0
34701,0
34803,0
34904,2.501
35005,1.464
35107,0
35208,2.44
35411,0.366
35614,0.488
35817,0
35918,0
36019,0
36121,4.27
36222,0.7929999999999999
36324,3.904
36425,4.026
36526,0
36628,0.915
36729,0
36831,0
36932,1.0979999999999999
37034,1.342
37135,0
37236,0
37338,0.5489999999999999
37439,0
37541,0.061
37642,0
37744,0
37845,0
37947,0
38048,0
38149,4.453
38251,0
38352,5.917
38454,0.244
38555,5.978
38656,0
38758,0
38859,0
38961,0.427
39062,0
39164,0
39265,0
39367,0.5489999999999999
39468,0
39569,0.915
39671,0.427
39772,5.978
39874,0
39975,4.27
40077,0
40178,0
40280,0.488
40381,2.074
40482,0
40584,0.488
40685,5.551
40787,0
40888,0
40990,2.1959999999999997
41091,0.427
41192,0
41294,0
41395,0
41497,2.684
41598,0
41700,0
41801,0.366
41903,1.403
42105,0.366
42207,0.488
42410,0.488
42511,4.819
42613,5.2459999999999996
42714,0
42816,0
42917,0
43019,0
43120,0
43221,0.488
43323,0
43425,0.061
43526,0.183
43628,0.122
43729,0
43831,3.965
44033,2.928
44135,0.122
44236,0
44338,4.575
44439,5.856
44541,0.061
44642,0
44744,0.244
45048,0
45149,0
45251,0.305
45352,0
45454,0
45555,0
45657,0
45758,0
45860,0
45961,0.244
46062,0
46164,2.806
46265,1.22
46367,0.061
46469,0
46570,0.488
46671,0
46773,0
46874,5.917
46976,3.5989999999999998
47077,0.122
47179,0.305
47280,0
47382,4.941
47585,0
47686,0.061
47787,0
47889,3.294
47990,0
48092,0.5489999999999999
48193,0.061
48295,0.5489999999999999
48396,0.427
48497,1.403
48599,0
48700,0
48903,0
49005,0.305
49106,2.867
49208,4.209
49309,5.551
49411,0
49512,0
49614,0.976
49715,0
49817,0
49918,0
50019,0
50121,0.5489999999999999
50222,0
50324,0
50425,0
50526,0
50628,0.244
50729,3.477
50831,1.281
50932,0
51236,0.305
51338,0
51439,0
51541,3.904
51642,0
51743,0
51845,0
51946,3.904
52048,0.183
52149,0
52250,4.941
52352,0
52555,0
52656,2.684
52758,4.27
52859,0.061
52960,0
53062,3.782
53163,5.856
53265,5.551
53366,0
53468,0
53569,0
53671,0
53772,0.488
53873,0
53975,0
54076,0
54178,4.697
54279,0
54381,0.427
54584,0.915
54685,5.185
54787,0.488
54990,0.244
55091,2.684
55193,0
55294,5.551
55396,0
55497,0
55599,2.013
55700,0
55801,0.183
56004,0
56106,0
56207,0
56309,0
56410,1.952
56512,0
56613,0
56715,0
56816,0
56918,5.368
57019,5.734
57121,0.061
57222,0.488
57323,0
57425,0
57526,0
57628,0.305
57729,0
57831,0
57932,0
58034,1.403
58135,0.427
58237,0.5489999999999999
58440,3.66
58541,5.856
58643,0
58845,2.135
58947,0
59048,0.488
59150,0
59252,0
59556,0.488
59657,0
59759,0.427
59860,0
59961,0
60063,0
60266,0.488
60367,1.0979999999999999
60469,0
60570,0
60672,0.183
60773,0.5489999999999999
60875,4.575
60976,0
61078,3.233
61179,1.037
61281,0.5489999999999999
61382,2.501
61484,0
61586,0.5489999999999999
61687,0.488
61789,0
61992,0
62093,0.366
62195,0
62296,5.063
62398,0.122
62500,4.27
62601,0
62703,0
62804,0
62906,0
63007,0
63109,0.488
63210,3.843
63312,0
63515,0
63616,0.5489999999999999
63718,1.342
63819,4.27
63921,2.013
64022,0.183
64124,0.183
64225,0
64327,0.854
64428,0
64530,1.708
64631,3.355
64733,0
64834,0
64936,0
65037,0
65139,0.305
65240,0
65443,3.721
65545,0
65646,0
65748,2.013
65849,0.427
65951,1.708
66052,0
66154,0
66255,0.61
66357,1.403
66459,0.122
66560,0.061
66662,2.013
66763,1.037
66865,0
66966,0
67068,0
67169,5.002
67271,1.769
67372,0
67474,0.122
67575,0
67677,0
67778,0.488
67981,4.27
68083,0
68185,1.281
68286,0
68388,0.244
68489,0.183
68591,0.366
68692,0.061
68794,0
68895,5.551
68997,5.734
69098,0.244
69200,3.904
69302,0.5489999999999999
69403,3.416
69505,0
69606,0
69708,0
69810,0
69911,0
70013,0
70115,0.5489999999999999
70216,0
70521,0
70623,0
70724,0
70826,0.671
70927,2.806
71029,0.244
71131,0
71232,4.209
71334,3.477
71435,0.5489999999999999
71537,0
71638,0
71943,0
72045,0.5489999999999999
72146,0
72248,0.305
72349,5.2459999999999996
72451,0
72552,0.122
72654,0.366
72755,0
72857,1.281
72958,0.122
73060,0.854
73161,0
73263,3.538
73365,0
73466,0.488
73567,0.122
73669,1.708
73770,1.5859999999999999
73872,1.5859999999999999
73973,4.209
74075,0
74176,0
74278,0.061
74379,0
74481,0
74786,2.684
74887,0
74989,5.002
75090,0
75192,0.854
75293,0
75395,0.244
75496,1.5859999999999999
75598,0
75700,0
75801,0
75903,0.366
76004,0.427
76106,0.488
76207,4.087
76309,0.488
76410,0.366
76512,0.61
76613,0
76715,5.734
76816,0
76918,0
77020,1.5859999999999999
77121,0
77223,0
77324,0
77426,0
77527,0.671
77629,6.039
77730,0.488
77832,0
77933,0
78035,3.355
78137,0.183
78238,0
78340,0.5489999999999999
78441,0
78543,0.061
78644,0
78746,0.305
78847,1.769
78949,4.575
79051,0
79152,0.122
79254,0
79355,0.305
79457,0.5489999999999999
79558,0
79660,0.5489999999999999
79761,0.366
79863,0
79965,0
80066,2.562
80168,0.488
80269,0
80371,0
80472,4.941
80574,0.7929999999999999
80675,0
80777,6.039
80878,0
80980,0
81081,0
81183,0.183
81284,0
81386,0
81487,0
81589,0
